cabin_id:ID(Cabane),osm_id:long,lat:float,lon:float,name,country_code
278081326,278081326,68.6290545,14.5642855,,NO
289250952,289250952,67.8511047,18.3165587,Singi Fjällstuga,SE
289257081,289257081,68.1364854,18.4154716,Alesjaure Fjällstuga,SE
289406212,289406212,68.2860102,18.5912708,Abiskojaure Fjällstuga,SE
339206155,339206155,67.9188831,18.6001108,Tarfala,SE
339206157,339206157,68.0313682,18.5958355,Vistasstuga,SE
339295282,339295282,68.017019,18.3939444,Fjällstuga Nallo,SE
339299832,339299832,67.6949032,18.1560562,Teusajaure Fjällstuga,SE
339299833,339299833,67.5818276,18.1006482,Vakkotavare Fjällstuga,SE
339299835,339299835,67.6346431,17.360798,Akka Fjällstuga,SE
339303441,339303441,67.1485794,18.3059078,Aktse Fjällstuga,SE
339305022,339305022,67.0470113,16.8844881,Vaimok Fjällstuga,SE
339405721,339405721,68.7637401,19.7202386,Ventebu,NO
339409575,339409575,68.2936571,17.9979207,Oallavagge,NO
342300361,342300361,67.8917834,18.3228673,Kuoperjåkka Rastskydd,SE
439171305,439171305,68.0838105,28.850136,Jussinmurusta laavu,FI
477425789,477425789,67.4129891,18.543063,,SE
477609336,477609336,67.7184156,17.4739861,,SE
494311759,494311759,68.4212152,18.6232313,,SE
510118756,510118756,67.7836243,24.8745915,Utsunkota,FI
534951417,534951417,69.707048,28.9850411,Kalliokoski  laavu,FI
534951419,534951419,69.691751,28.797989,Laavu,FI
534951420,534951420,69.6123879,29.0214325,Lauttajärvi  laavu,FI
534951421,534951421,69.5954278,28.9558306,Pikku Kirakkajärvi  laavu,FI
534951437,534951437,66.671562,25.342972,Yla-mellalampi laavu,FI
534951439,534951439,66.784038,26.238794,Ylinamma laavu,FI
534951443,534951443,66.6245463,26.2185261,Vikajarvi laavu,FI
534951448,534951448,66.646551,25.483026,Sinettajokisuu_LA,FI
534951449,534951449,66.6457312,25.4660266,Sinettajoki laavu,FI
534951453,534951453,66.98547,25.267049,Tolonen laavu,FI
534951455,534951455,66.6377117,27.1051608,Tunturilampi laavu,FI
534951458,534951458,67.1033271,25.0761332,Porokari laavu,FI
534951462,534951462,66.89893,25.132042,Pirttilammi laavu,FI
534951465,534951465,66.8607769,25.46876,Patakoski laavu,FI
534951466,534951466,66.582418,26.025045,Olkkajarvi,FI
534951469,534951469,66.609761,25.226438,Oitola_LA,FI
534951471,534951471,67.0469111,25.9296982,Niesi laavu,FI
534951476,534951476,66.9065185,25.3762075,Meltaus laavu,FI
534951478,534951478,66.775484,25.435204,Marraskoski laavu,FI
534951480,534951480,67.1626384,24.9552206,Lohiniva laavu,FI
534951481,534951481,66.6866075,25.4064597,Luonuajoki laavu,FI
534951482,534951482,66.6388918,25.3352032,Lehtojarvi laavu,FI
534951487,534951487,66.56566,25.696986,Kuninkaan laavu,FI
534951491,534951491,66.639093,26.63386,Kieli laavu,FI
534951492,534951492,66.958071,24.866389,Kienaja_KO,FI
534951496,534951496,66.9585064,26.1720288,Käyrästunturi laavu,FI
534951502,534951502,66.8487854,24.9530778,Isovaara laavu,FI
564239031,564239031,68.3646917,18.7845903,,SE
607067348,607067348,68.1147908,24.1455493,,FI
662443730,662443730,68.3335562,18.1266576,Stuor Kärpel rastskydd,SE
662719940,662719940,68.2413726,27.7015517,Salonlampi laavu,FI
662720285,662720285,68.4645659,27.2977743,Tolosjoen laavu,FI
662720339,662720339,68.2891695,27.5834025,Suomunlatva laavu,FI
670983395,670983395,67.2258443,29.2366168,Naruskantien kota,FI
701443741,701443741,67.5980298,24.2565192,Kesänginkeitaan laavu,FI
704638102,704638102,68.3306588,27.4269482,Sivakkaoja laavu,FI
826127471,826127471,66.9344022,14.3883396,,NO
1028024300,1028024300,69.6566363,18.7978055,,NO
1068906819,1068906819,66.7563993,28.8247953,Tunturilammen laavu,FI
1068906908,1068906908,66.7381282,28.8530772,Kaunisharjun laavu,FI
1071480077,1071480077,66.7665305,28.7992819,Itäkatos,FI
1071480209,1071480209,66.796185,28.6924322,Sirkan laavu,FI
1071481548,1071481548,66.7744668,28.754296,,FI
1077243399,1077243399,66.7539567,28.7665199,Laavu,FI
1077243620,1077243620,66.744162,28.7992513,Kontiolammen laavu,FI
1154358890,1154358890,69.3624639,28.5815575,Suolistaipale,FI
1167791816,1167791816,67.9167105,23.8011533,Olostunturi yläladun Laavu,FI
1167791835,1167791835,67.5770447,24.3473272,Kurkivuoman kota,FI
1167791845,1167791845,68.1013922,24.0925505,Sarvijärvi laavu 2,FI
1167791914,1167791914,68.0382391,23.8547089,Vuontisjärvi kota,FI
1167791992,1167791992,67.9438785,23.8941949,Siepinvaaran laavu,FI
1167792046,1167792046,67.6791721,24.3753854,Pyhäjärvi laavu,FI
1167792060,1167792060,67.982826,23.926467,Uusipalo laavu,FI
1167792073,1167792073,67.599097,24.2569692,Kesänkijärven laavu,FI
