route_osm_id:ID(Route),name,route,network,ref,operator,osmc_symbol,colour
1017409,"Euroopan vapaareititetty digitaalinen kävelyreitti E6, Suomi",hiking,iwn,E6,Voluntary mappers,red:white:red_rectangle,
1346697,Silsand lysløype,ski,,,,,
3889324,Midnattssolstigen,hiking,lwn,,,,
3916047,"European Long distance path E1 - Norway, Finnmark",hiking,iwn,E1,,,
4218297,,hiking,iwn,E1,,,
4220916,European Long distance path E1 - Finland,hiking,iwn,E1,,,
4228445,"European Long distance path E1 - Sweden, Norrbottens län (north)",hiking,iwn,E1,,,
4240894,"European Long distance path E1 - Norway, Nordland (south)",hiking,iwn,E1,Den Norske Turistforening,,
4596687,Muddusleden,hiking,rwn,,,,
5730774,Humørløypa (Lysløype),ski,,,,,
6091302,Dundret runt 30km,ski,,,,,green
6258916,Nordlandsruta Etapp 17: Graddis fjellstue - Trygvebu,hiking,rwn,SUL1,Den Norske Turistforening,,
6258953,Nordlandsruta Etapp 18: Trygvebu - Argaladhytta,hiking,rwn,SUL2,Den Norske Turistforening,,
6258954,Nordlandsruta Etapp 19: Argaladhytta - Balvasshytta,hiking,rwn,SUL3,Den Norske Turistforening,,
6258955,,hiking,rwn,SUL4,Den Norske Turistforening,,
6258956,,hiking,rwn,SUL5,Den Norske Turistforening,,
6258986,,hiking,rwn,SUL6,Den Norske Turistforening,,
6258987,,hiking,rwn,SUL7,Den Norske Turistforening,,
6258988,,hiking,rwn,SUL8,Den Norske Turistforening,,
6258989,Nordlandsruta Etapp 20: Balvashytta - Tjoarvihytta,hiking,rwn,SUL9,Den Norske Turistforening,,
6259010,Nordlandsruta Etapp 16: Lønstua - Graddis fjellstue,hiking,rwn,SAL11,Den Norske Turistforening,,
6259011,,hiking,rwn,SAL12,Den Norske Turistforening,,
6259255,,hiking,rwn,SUL10,Den Norske Turistforening,,
6259256,,hiking,rwn,SUL11,Den Norske Turistforening,,
6259257,,hiking,rwn,SUL12,Den Norske Turistforening,,
6261318,Nordlandsruta Etapp 21: Tjoarvihytta - Tjalalveshytta,hiking,rwn,SUL13,Den Norske Turistforening,,
6261319,,hiking,rwn,SUL14,Den Norske Turistforening,,
6261320,Nordlandsruta Etapp 22: Tjalalveshytta - Lomihytta,hiking,rwn,SUL15,Den Norske Turistforening,,
6261321,Nordlandsruta Etapp 23: Lomihytta - Ny-Sulitjelma fjellstue,hiking,rwn,SUL16,Den Norske Turistforening,,
6261322,,hiking,rwn,SUL17,Den Norske Turistforening,,
6261323,,hiking,rwn,SUL18,Den Norske Turistforening,,
6261324,,hiking,rwn,SUL19,Den Norske Turistforening,,
6261386,Nordkalottruta Etapp 43: Ny-Sulitjelma Fjellstue - Sulitjelma,hiking,rwn,SUL20,Den Norske Turistforening,,
6261387,Nordkalottruta Etapp 42: Sorjushytta - Ny-Sulitjelma Fjellstue,hiking,rwn,SUL21,Den Norske Turistforening,,
6261388,Nordkalottruta Etapp 41: Sårjåsjaurestugan - Sorjushytta,hiking,rwn,SUL22,Den Norske Turistforening,,
6261389,Nordkalottruta Etapp 40: Staddajåkkåstugorna - Sårjåsjaurestugan,hiking,rwn,SUL23,Svenska Turistförening,,
6261458,,hiking,rwn,SUL24,Den Norske Turistforening,,
6261459,,hiking,rwn,SUL25,Den Norske Turistforening,,
6261460,,hiking,rwn,SUL26,Den Norske Turistforening,,
6261461,,hiking,rwn,SUL27,Svenska Turistförening,,
6261462,Nordkalottruta Etapp 39: Stáloluokta - Staddajåkkåstugorna,hiking,rwn,SUL28,Svenska Turistförening,,
6261463,Nordkalottruta Etapp 38: Arasluokta - Stáloluokta,hiking,rwn,SUL29,Svenska Turistförening,,
